Date,Open,High,Low,Close,Change %
19-03-2010,3694.82,3694.82,3694.82,3694.82,0.07%
22-03-2010,3654.17,3654.17,3654.17,3654.17,-1.10%
23-03-2010,3663.95,3663.95,3663.95,3663.95,0.27%
25-03-2010,3681.38,3681.38,3681.38,3681.38,0.48%
26-03-2010,3730.96,3730.96,3730.96,3730.96,1.35%
29-03-2010,3762.47,3762.47,3762.47,3762.47,0.84%
30-03-2010,3732.26,3732.26,3732.26,3732.26,-0.80%
31-03-2010,3744.37,3744.37,3744.37,3744.37,0.32%
01-04-2010,3775.36,3775.36,3775.36,3775.36,0.83%
05-04-2010,3828.23,3828.23,3828.23,3828.23,1.40%
06-04-2010,3853.51,3853.51,3853.51,3853.51,0.66%
07-04-2010,3837.01,3837.01,3837.01,3837.01,-0.43%
08-04-2010,3778.36,3778.36,3778.36,3778.36,-1.53%
09-04-2010,3843.79,3843.79,3843.79,3843.79,1.73%
12-04-2010,3812,3812,3812,3812,-0.83%
13-04-2010,3771.58,3771.58,3771.58,3771.58,-1.06%
15-04-2010,3713.6,3713.6,3713.6,3713.6,-1.54%
16-04-2010,3705.84,3705.84,3705.84,3705.84,-0.21%
19-04-2010,3688.5,3688.5,3688.5,3688.5,-0.47%
20-04-2010,3754.13,3754.13,3754.13,3754.13,1.78%
21-04-2010,3787.48,3787.48,3787.48,3787.48,0.89%
22-04-2010,3833.74,3833.74,3833.74,3833.74,1.22%
23-04-2010,3877.05,3877.05,3877.05,3877.05,1.13%
26-04-2010,3912.5,3912.5,3912.5,3912.5,0.91%
27-04-2010,3879.81,3879.81,3879.81,3879.81,-0.84%
28-04-2010,3844.95,3844.95,3844.95,3844.95,-0.90%
29-04-2010,3893.39,3893.39,3893.39,3893.39,1.26%
30-04-2010,3912.74,3912.74,3912.74,3912.74,0.50%
03-05-2010,3888.85,3888.85,3888.85,3888.85,-0.61%
04-05-2010,3860.59,3860.59,3860.59,3860.59,-0.73%
05-05-2010,3840.89,3840.89,3840.89,3840.89,-0.51%
06-05-2010,3840.06,3840.06,3840.06,3840.06,-0.02%
07-05-2010,3723.52,3723.52,3723.52,3723.52,-3.03%
10-05-2010,3868.98,3868.98,3868.98,3868.98,3.91%
11-05-2010,3849.29,3849.29,3849.29,3849.29,-0.51%
12-05-2010,3892.57,3892.57,3892.57,3892.57,1.12%
13-05-2010,3922.61,3922.61,3922.61,3922.61,0.77%
14-05-2010,3851.34,3851.34,3851.34,3851.34,-1.82%
17-05-2010,3839.91,3839.91,3839.91,3839.91,-0.30%
18-05-2010,3828.34,3828.34,3828.34,3828.34,-0.30%
19-05-2010,3692.15,3692.15,3692.15,3692.15,-3.56%
20-05-2010,3728.64,3728.64,3728.64,3728.64,0.99%
21-05-2010,3727.59,3727.59,3727.59,3727.59,-0.03%
24-05-2010,3699.71,3699.71,3699.71,3699.71,-0.75%
25-05-2010,3598.02,3598.02,3598.02,3598.02,-2.75%
26-05-2010,3671.51,3671.51,3671.51,3671.51,2.04%
27-05-2010,3747.47,3747.47,3747.47,3747.47,2.07%
28-05-2010,3785.73,3785.73,3785.73,3785.73,1.02%
31-05-2010,3817.79,3817.79,3817.79,3817.79,0.85%
01-06-2010,3718.88,3718.88,3718.88,3718.88,-2.59%
02-06-2010,3747.6,3747.6,3747.6,3747.6,0.77%
03-06-2010,3811.79,3811.79,3811.79,3811.79,1.71%
04-06-2010,3840.66,3840.66,3840.66,3840.66,0.76%
07-06-2010,3777.26,3777.26,3777.26,3777.26,-1.65%
08-06-2010,3761.43,3761.43,3761.43,3761.43,-0.42%
09-06-2010,3786.76,3786.76,3786.76,3786.76,0.67%
10-06-2010,3837.51,3837.51,3837.51,3837.51,1.34%
11-06-2010,3876.52,3876.52,3876.52,3876.52,1.02%
14-06-2010,3906.86,3906.86,3906.86,3906.86,0.78%
15-06-2010,3916.81,3916.81,3916.81,3916.81,0.25%
16-06-2010,3929.37,3929.37,3929.37,3929.37,0.32%
17-06-2010,3938.54,3938.54,3938.54,3938.54,0.23%
18-06-2010,3934.18,3934.18,3934.18,3934.18,-0.11%
21-06-2010,4001.57,4001.57,4001.57,4001.57,1.71%
22-06-2010,3978.49,3978.49,3978.49,3978.49,-0.58%
23-06-2010,3989.03,3989.03,3989.03,3989.03,0.26%
24-06-2010,3988.65,3988.65,3988.65,3988.65,-0.01%
25-06-2010,3901.38,3901.38,3901.38,3901.38,-2.19%
28-06-2010,3930,3930,3930,3930,0.73%
29-06-2010,3883.8,3883.8,3883.8,3883.8,-1.18%
30-06-2010,3923.41,3923.41,3923.41,3923.41,1.02%
01-07-2010,3877.49,3877.49,3877.49,3877.49,-1.17%
02-07-2010,3874.32,3874.32,3874.32,3874.32,-0.08%
05-07-2010,3887.34,3887.34,3887.34,3887.34,0.34%
06-07-2010,3942.31,3942.31,3942.31,3942.31,1.41%
07-07-2010,3899.97,3899.97,3899.97,3899.97,-1.07%
08-07-2010,3946.53,3946.53,3946.53,3946.53,1.19%
09-07-2010,4000.28,4000.28,4000.28,4000.28,1.36%
12-07-2010,4055.66,4055.66,4055.66,4055.66,1.38%
13-07-2010,4100.12,4100.12,4100.12,4100.12,1.10%
14-07-2010,4110.62,4110.62,4110.62,4110.62,0.26%
15-07-2010,4096.72,4096.72,4096.72,4096.72,-0.34%
16-07-2010,4121.54,4121.54,4121.54,4121.54,0.61%
19-07-2010,4134.33,4134.33,4134.33,4134.33,0.31%
20-07-2010,4100.91,4100.91,4100.91,4100.91,-0.81%
21-07-2010,4095.65,4095.65,4095.65,4095.65,-0.13%
22-07-2010,4134.62,4134.62,4134.62,4134.62,0.95%
23-07-2010,4139.15,4139.15,4139.15,4139.15,0.11%
26-07-2010,4114.75,4114.75,4114.75,4114.75,-0.59%
27-07-2010,4130.37,4130.37,4130.37,4130.37,0.38%
28-07-2010,4112.09,4112.09,4112.09,4112.09,-0.44%
29-07-2010,4162.49,4162.49,4162.49,4162.49,1.23%
30-07-2010,4149.68,4149.68,4149.68,4149.68,-0.31%
02-08-2010,4239.14,4239.14,4239.14,4239.14,2.16%
03-08-2010,4273.57,4273.57,4273.57,4273.57,0.81%
04-08-2010,4274.78,4274.78,4274.78,4274.78,0.03%
05-08-2010,4255.13,4255.13,4255.13,4255.13,-0.46%
06-08-2010,4251.29,4251.29,4251.29,4251.29,-0.09%
09-08-2010,4308.09,4308.09,4308.09,4308.09,1.34%
10-08-2010,4293.82,4293.82,4293.82,4293.82,-0.33%
11-08-2010,4245.96,4245.96,4245.96,4245.96,-1.11%
12-08-2010,4287.63,4287.63,4287.63,4287.63,0.98%
13-08-2010,4332.04,4332.04,4332.04,4332.04,1.04%
16-08-2010,4304.55,4304.55,4304.55,4304.55,-0.63%
17-08-2010,4328.24,4328.24,4328.24,4328.24,0.55%
18-08-2010,4390.39,4390.39,4390.39,4390.39,1.44%
19-08-2010,4488.36,4488.36,4488.36,4488.36,2.23%
20-08-2010,4468.79,4468.79,4468.79,4468.79,-0.44%
23-08-2010,4484.31,4484.31,4484.31,4484.31,0.35%
24-08-2010,4468.09,4468.09,4468.09,4468.09,-0.36%
25-08-2010,4419.7,4419.7,4419.7,4419.7,-1.08%
26-08-2010,4431.88,4431.88,4431.88,4431.88,0.28%
27-08-2010,4353.04,4353.04,4353.04,4353.04,-1.78%
30-08-2010,4367.67,4367.67,4367.67,4367.67,0.34%
31-08-2010,4360.88,4360.88,4360.88,4360.88,-0.16%
01-09-2010,4396.04,4396.04,4396.04,4396.04,0.81%
02-09-2010,4435.45,4435.45,4435.45,4435.45,0.90%
03-09-2010,4432.84,4432.84,4432.84,4432.84,-0.06%
06-09-2010,4522.79,4522.79,4522.79,4522.79,2.03%
07-09-2010,4513.17,4513.17,4513.17,4513.17,-0.21%
08-09-2010,4504.89,4504.89,4504.89,4504.89,-0.18%
09-09-2010,4580.74,4580.74,4580.74,4580.74,1.68%
13-09-2010,4754.08,4754.08,4754.08,4754.08,3.78%
14-09-2010,4787,4787,4787,4787,0.69%
15-09-2010,4832.93,4832.93,4832.93,4832.93,0.96%
16-09-2010,4851.62,4851.62,4851.62,4851.62,0.39%
17-09-2010,4862.45,4862.45,4862.45,4862.45,0.22%
20-09-2010,4941.8,4941.8,4941.8,4941.8,1.63%
21-09-2010,4953.76,4953.76,4953.76,4953.76,0.24%
22-09-2010,4979.33,4979.33,4979.33,4979.33,0.52%
23-09-2010,4925.76,4925.76,4925.76,4925.76,-1.08%
24-09-2010,4976.62,4976.62,4976.62,4976.62,1.03%
27-09-2010,4971.22,4971.22,4971.22,4971.22,-0.11%
28-09-2010,4949.37,4949.37,4949.37,4949.37,-0.44%
29-09-2010,4931.84,4931.84,4931.84,4931.84,-0.35%
30-09-2010,5003.48,5003.48,5003.48,5003.48,1.45%
01-10-2010,5087.28,5087.28,5087.28,5087.28,1.67%
